hour_key,wiper_on,wiper_off,wiper_total,rain_ratio,is_rainy,avg_temp,min_temp,max_temp,is_cold,is_freezing
2022-10-08 11,411,187,657,0.6255707762557078,True,10.2634598084352,4.5,32.5,False,False
2022-10-08 12,383,153,587,0.6524701873935264,True,11.071495455516992,5.0,27.0,False,False
2022-10-08 13,329,94,476,0.6911764705882353,True,11.615583394191338,5.0,34.0,False,False
2022-10-08 14,239,31,313,0.7635782747603834,True,11.694517659462308,5.5,27.0,False,False
2022-10-08 15,244,9,285,0.856140350877193,True,11.037477073330296,6.5,36.0,False,False
2022-10-08 16,204,15,273,0.7472527472527473,True,10.493483614551838,6.0,31.0,False,False
2022-10-08 17,187,14,233,0.8025751072961373,True,10.659269463691418,5.0,28.0,False,False
2022-10-08 18,174,10,213,0.8169014084507042,True,10.441418614186142,4.0,30.5,False,False
2022-10-08 19,125,7,189,0.6613756613756614,True,10.120887095170879,2.5,32.0,False,False
2022-10-08 20,89,4,104,0.8557692307692307,True,10.002218154743439,2.5,30.5,False,False
2022-10-08 21,70,6,88,0.7954545454545454,True,9.918780735305596,2.0,33.5,False,False
2022-10-08 22,47,1,59,0.7966101694915254,True,9.759170285503096,3.0,19.5,False,False
2022-10-08 23,26,0,32,0.8125,True,9.40733403412307,3.5,17.0,False,False
2022-10-09 00,15,0,18,0.8333333333333334,True,9.106627842484748,6.0,15.5,False,False
2022-10-09 01,5,0,5,1.0,True,8.834014002333722,6.0,16.5,False,False
2022-10-09 02,4,0,4,1.0,True,8.705352266521027,5.5,19.5,False,False
2022-10-09 03,1,0,2,0.5,True,8.966436637390213,7.0,17.5,False,False
2022-10-09 04,5,0,5,1.0,True,9.492857142857142,4.0,16.5,False,False
2022-10-09 05,7,0,11,0.6363636363636364,True,9.923076923076923,3.0,22.5,False,False
2022-10-09 06,28,6,37,0.7567567567567568,True,10.270663294631566,4.0,22.5,False,False
2022-10-09 07,37,5,60,0.6166666666666667,True,9.668274985038899,1.5,23.5,False,False
2022-10-09 08,82,5,106,0.7735849056603774,True,10.181344696969697,2.5,22.5,False,False
2022-10-09 09,133,10,168,0.7916666666666666,True,11.824274321630115,4.5,39.5,False,False
2022-10-09 10,200,13,236,0.847457627118644,True,13.538693081574658,6.5,41.5,False,False
2022-10-09 11,197,14,265,0.7433962264150943,True,14.5264598423994,7.0,43.0,False,False
2022-10-09 12,201,12,258,0.7790697674418605,True,15.527437259618477,9.0,32.5,False,False
2022-10-09 13,127,1,147,0.8639455782312925,True,15.841433536550625,10.5,28.5,False,False
2022-10-09 14,126,8,151,0.8344370860927153,True,15.80531848208689,10.0,29.0,False,False
2022-10-09 15,109,10,143,0.7622377622377622,True,15.473982992956918,10.0,40.5,False,False
2022-10-09 16,151,0,187,0.8074866310160428,True,15.20937698848846,9.0,31.0,False,False
2022-10-09 17,124,12,166,0.7469879518072289,True,14.930842389110461,10.5,36.5,False,False
2022-10-09 18,107,7,138,0.7753623188405797,True,14.459074994234438,8.5,25.5,False,False
2022-10-09 19,83,16,128,0.6484375,True,14.32418956043956,7.0,33.0,False,False
2022-10-09 20,67,2,84,0.7976190476190477,True,13.901669677078285,4.5,23.5,False,False
2022-10-09 21,32,1,38,0.8421052631578947,True,13.874612789977284,4.0,31.0,False,False
2022-10-09 22,17,0,22,0.7727272727272727,True,13.988529186846801,3.0,27.0,False,False
2022-10-09 23,32,12,53,0.6037735849056604,True,13.332187595478155,5.0,20.5,False,False
2022-10-10 00,25,15,48,0.5208333333333334,True,13.331877729257641,9.5,21.5,False,False
